incident_detail_id,incident_details_count,booking_id,disciplinary_event_date_time,disciplinary_event_network_id,incident_type,incident_category
inc_20180507151_BV-2018-11597,1,20180507151,2018-09-07 11:42:00,BV-2018-11597,Use of Force,
inc_20180404123_BV-2018-12142,1,20180404123,2018-09-19 11:17:00,BV-2018-12142,Disciplinary,
inc_20180823047_BV-2018-12142,1,20180823047,2018-09-19 11:17:00,BV-2018-12142,Disciplinary,
inc_20180115001_BV-2018-13618,1,20180115001,2018-10-25 12:15:00,BV-2018-13618,Disciplinary,
inc_20170516013_BV-2018-2897,1,20170516013,2018-03-01 08:55:00,BV-2018-2897,Inmate Fight,
inc_20180120018_BV-2018-2897,1,20180120018,2018-03-01 08:55:00,BV-2018-2897,Inmate Fight,
inc_20180130113_BV-2018-2897,1,20180130113,2018-03-01 08:55:00,BV-2018-2897,Inmate Fight,
inc_20180115001_BV-2018-5331,1,20180115001,2018-04-23 16:00:00,BV-2018-5331,Informational,Disciplinary
inc_20180507151_BV-2018-6048,1,20180507151,2018-05-08 10:30:00,BV-2018-6048,Disciplinary,
inc_20170815058_BV-2018-8191,1,20170815058,2018-06-26 10:30:00,BV-2018-8191,Inmate Fight,
inc_20180623084_BV-2018-8191,1,20180623084,2018-06-26 10:30:00,BV-2018-8191,Inmate Fight,
inc_20180216202_BV-2018-8198,1,20180216202,2018-06-26 12:30:00,BV-2018-8198,Deescalation/Use of Force,
inc_20180422036_BV-2018-9077,1,20180422036,2018-07-16 12:15:00,BV-2018-9077,Disciplinary,Flood
inc_20170622001_BV-2018-9131,1,20170622001,2018-07-17 11:50:00,BV-2018-9131,Flood,
inc_20180115001_BV-2018-9131,1,20180115001,2018-07-17 11:50:00,BV-2018-9131,Flood,
inc_20180117079_BV-2018-9131,1,20180117079,2018-07-17 11:50:00,BV-2018-9131,Flood,
inc_20180429031_CCB-2018-10048,1,20180429031,2018-08-06 12:30:00,CCB-2018-10048,Disciplinary,Masturbation
inc_20180529115_CCB-2018-10550,1,20180529115,2018-08-16 10:20:00,CCB-2018-10550,Battery To Staff Without Injuries,Battery to Staff
inc_20180101030_CCB-2018-11490,1,20180101030,2018-09-05 11:30:00,CCB-2018-11490,Contraband Recovery,Contraband Confiscated (From Detainee)
inc_20180330219_CCB-2018-13516,1,20180330219,2018-10-23 10:25:00,CCB-2018-13516,Disciplinary,Masturbation
inc_20161124094_CCB-2018-1437,1,20161124094,2018-01-29 09:15:00,CCB-2018-1437,Inmate Fight,
inc_20170613162_CCB-2018-1437,1,20170613162,2018-01-29 09:15:00,CCB-2018-1437,Inmate Fight,
inc_20180107144_CCB-2018-1437,1,20180107144,2018-01-29 09:15:00,CCB-2018-1437,Inmate Fight,
inc_20140926012_CCB-2018-14484,1,20140926012,2018-11-14 10:30:00,CCB-2018-14484,Disciplinary,
inc_20180418071_CCB-2018-14484,1,20180418071,2018-11-14 10:30:00,CCB-2018-14484,Disciplinary,
inc_20170831143_CCB-2018-15648,1,20170831143,2018-12-13 08:30:00,CCB-2018-15648,Inmate Fight,
inc_20180107012_CCB-2018-15648,1,20180107012,2018-12-13 08:30:00,CCB-2018-15648,Inmate Fight,
inc_20180518022_CCB-2018-15648,1,20180518022,2018-12-13 08:30:00,CCB-2018-15648,Inmate Fight,
inc_20180213188_CCB-2018-2123,1,20180213188,2018-02-13 14:00:00,CCB-2018-2123,Informational,
inc_20180201038_CCB-2018-4131,1,20180201038,2018-03-27 10:56:00,CCB-2018-4131,Disciplinary,
inc_20180407052_CCB-2018-5013,1,20180407052,2018-04-16 12:30:00,CCB-2018-5013,Inmate Fight,
inc_20180415002_CCB-2018-5013,1,20180415002,2018-04-16 12:30:00,CCB-2018-5013,Inmate Fight,
inc_20180314047_CCB-2018-5213,1,20180314047,2018-04-20 11:50:00,CCB-2018-5213,Inmate Escape,Attempt Battery to Staff
inc_20180314047_CCB-2018-5213,2,20180314047,2018-04-20 11:50:00,CCB-2018-5213,Inmate Escape,Inmate Escape
inc_20180314047_CCB-2018-5213,3,20180314047,2018-04-20 11:50:00,CCB-2018-5213,Inmate Escape,Disciplinary
inc_20180207010_CCB-2018-8314,1,20180207010,2018-06-28 13:35:00,CCB-2018-8314,Battery To Staff With Injuries,Battery to Staff
inc_20170510156_CCB-2018-9129,1,20170510156,2018-07-17 09:30:00,CCB-2018-9129,Inmate Fight,
inc_20180529115_CCB-2018-9129,1,20180529115,2018-07-17 09:30:00,CCB-2018-9129,Inmate Fight,
inc_20140804277_CCB-2018-9190,1,20140804277,2018-07-18 11:10:00,CCB-2018-9190,Disciplinary,Disciplinary
inc_20171210128_CCB-2018-9190,1,20171210128,2018-07-18 11:10:00,CCB-2018-9190,Disciplinary,Disciplinary
inc_20171210130_CCB-2018-9190,1,20171210130,2018-07-18 11:10:00,CCB-2018-9190,Disciplinary,Disciplinary
inc_20180413219_CCB-2018-9190,1,20180413219,2018-07-18 11:10:00,CCB-2018-9190,Disciplinary,Disciplinary
inc_20171106238_CCB-2018-9456,1,20171106238,2018-07-24 11:25:00,CCB-2018-9456,Disciplinary,Disciplinary
inc_20171106238_CCB-2018-9456,2,20171106238,2018-07-24 11:25:00,CCB-2018-9456,Disciplinary,Contraband Confiscated (From Detainee)
inc_20180101030_CCB-2018-9456,1,20180101030,2018-07-24 11:25:00,CCB-2018-9456,Disciplinary,Contraband Confiscated (From Detainee)
inc_20180101030_CCB-2018-9456,2,20180101030,2018-07-24 11:25:00,CCB-2018-9456,Disciplinary,Disciplinary
inc_20180511154_CCB-2019-1407,1,20180511154,2019-02-01 14:05:00,CCB-2019-1407,Security,
inc_20180113170_CCMT-2018-11104,1,20180113170,2018-08-28 08:00:00,CCMT-2018-11104,Use of Force,Disciplinary
inc_20180113170_CCMT-2018-11104,2,20180113170,2018-08-28 08:00:00,CCMT-2018-11104,Use of Force,Use of Force
inc_20180414027_CCMT-2018-12024,1,20180414027,2018-09-17 09:48:00,CCMT-2018-12024,Disciplinary,Masturbation
inc_20180112077_CCMT-2018-14413,1,20180112077,2018-11-13 07:45:00,CCMT-2018-14413,Disciplinary,Disciplinary
inc_20180117124_CCMT-2018-5311,1,20180117124,2018-04-23 07:47:00,CCMT-2018-5311,Disciplinary,Disciplinary
inc_20180517139_CCMT-2018-8907,1,20180517139,2018-07-12 11:35:00,CCMT-2018-8907,Disciplinary,Disciplinary
inc_20180517139_CCMT-2018-8907,2,20180517139,2018-07-12 11:35:00,CCMT-2018-8907,Disciplinary,Assault to Staff
inc_20180529115_CCMT-2018-9138,1,20180529115,2018-07-17 12:37:00,CCMT-2018-9138,Battery To Staff With Injuries,Battery to Staff
inc_20180115069_CIID-2018-10862,1,20180115069,2018-08-22 16:00:00,CIID-2018-10862,Informational,Informational
inc_20180223066_CIID-2018-11503,1,20180223066,2018-09-01 10:07:00,CIID-2018-11503,Disciplinary,Informational
